0.499006	0.502895	0.501711	0.502014	0.503150	0.498315	0.500961	0.502769	0.499488	0.498139	0.498863	0.502021	0.501528	0.497478	0.500658	0.502662	0.501344	0.502980	0.501826	0.498466	0.498436	0.496213	0.498907	0.500873	0.502172	0.500420	0.501505	0.498988	0.497486	0.498770	0.497128	0.502096	0.496896	0.496434	0.500865	0.501362	0.498771	0.499422	0.495501	0.501816	0
0.501234	0.500513	0.500861	0.500782	0.503532	0.500670	0.499152	0.499796	0.499594	0.496452	0.497212	0.500906	0.504944	0.497735	0.500556	0.501791	0.499236	0.505232	0.501373	0.498376	0.499016	0.496838	0.498982	0.498700	0.502386	0.501898	0.499450	0.499388	0.498031	0.499138	0.499180	0.502322	0.498272	0.498043	0.501543	0.499509	0.499663	0.499276	0.496884	0.501839	0
0.495985	0.499169	0.500539	0.500368	0.499597	0.498177	0.500740	0.500485	0.502762	0.504984	0.498740	0.499653	0.497709	0.497193	0.500240	0.497677	0.500896	0.498459	0.496839	0.501588	0.502670	0.501096	0.503751	0.500168	0.499718	0.498601	0.498627	0.497147	0.503683	0.504542	0.499241	0.498316	0.501339	0.498022	0.498357	0.499602	0.497315	0.505149	0.501026	0.500219	9
0.495880	0.499002	0.500726	0.500518	0.499207	0.497894	0.502672	0.500756	0.503299	0.508223	0.499197	0.500056	0.497383	0.497272	0.499919	0.497960	0.501792	0.498318	0.496781	0.501962	0.502389	0.500614	0.503326	0.501078	0.499302	0.498384	0.498730	0.496978	0.502769	0.502993	0.498790	0.498004	0.500265	0.497275	0.497902	0.500596	0.496969	0.505033	0.500166	0.500092	9
0.494860	0.500840	0.500901	0.500423	0.498170	0.496740	0.500536	0.501129	0.501107	0.499590	0.507666	0.498995	0.497791	0.498678	0.502696	0.499247	0.500861	0.497471	0.499509	0.500262	0.500679	0.500973	0.500383	0.502572	0.499907	0.498932	0.501875	0.499077	0.500955	0.500488	0.499672	0.499421	0.499550	0.499270	0.499097	0.500908	0.498198	0.502476	0.499692	0.498696	10
0.495165	0.502208	0.500514	0.500302	0.498895	0.497559	0.499794	0.502099	0.500373	0.498907	0.504530	0.498852	0.497757	0.499318	0.503145	0.499123	0.501066	0.497396	0.500749	0.498902	0.499601	0.501061	0.500420	0.502304	0.500423	0.498549	0.501789	0.499638	0.500536	0.500627	0.500093	0.499858	0.499358	0.499802	0.499610	0.500431	0.498484	0.501755	0.500124	0.499088	10
0.498948	0.501265	0.502848	0.502233	0.503308	0.496889	0.500434	0.500762	0.500486	0.498014	0.497497	0.506685	0.503479	0.498332	0.499653	0.500259	0.500531	0.505723	0.501464	0.498013	0.498772	0.496944	0.499122	0.498478	0.501841	0.502603	0.500365	0.499847	0.497541	0.498857	0.497760	0.501463	0.496066	0.495214	0.501193	0.500450	0.499645	0.499750	0.495663	0.502072	11
0.496799	0.501334	0.503030	0.501746	0.503495	0.496261	0.498817	0.499923	0.500494	0.496795	0.497907	0.508937	0.502145	0.499235	0.499884	0.499218	0.499328	0.502522	0.499375	0.497632	0.500207	0.497671	0.498984	0.498443	0.503951	0.504330	0.499709	0.500719	0.498579	0.499191	0.498747	0.500781	0.497015	0.495915	0.501864	0.499498	0.500832	0.499703	0.496668	0.502811	11
0.498196	0.501456	0.501327	0.499845	0.503359	0.497177	0.497801	0.498474	0.498720	0.495806	0.498294	0.502557	0.508809	0.499625	0.500922	0.500187	0.497485	0.504365	0.502043	0.496901	0.498985	0.498164	0.498368	0.498018	0.503335	0.503422	0.501283	0.501580	0.499036	0.498629	0.498263	0.501281	0.497672	0.497413	0.502205	0.497625	0.502099	0.498890	0.498256	0.502624	12
0.498220	0.501845	0.501298	0.499684	0.503196	0.497246	0.497667	0.498291	0.498829	0.495891	0.498573	0.502373	0.507709	0.499908	0.501129	0.500136	0.497481	0.504172	0.502006	0.496743	0.498837	0.498240	0.498340	0.497872	0.503652	0.503363	0.501681	0.501884	0.498822	0.498565	0.498336	0.501413	0.497812	0.497665	0.501910	0.497526	0.502296	0.499046	0.498263	0.502546	12
